feature,window,threshold,base_rate,triggers,next_true,continuation_rate,lift_vs_base,p_value_vs_base,windows_with_pattern,window_pattern_rate
sum_le_12,5,3,0.4206394518983728,2491,1050,0.42151746286631875,0.0008780109679459303,0.4722793774947677,2492,0.35589831476720934
sum_le_12,10,7,0.4206394518983728,513,221,0.43079922027290446,0.010159768374531641,0.33603504518278765,514,0.07346005430898957
sum_le_12,10,8,0.4206394518983728,135,67,0.4962962962962963,0.07565684439792347,0.045804708426675694,135,0.019293983135629557
sum_le_12,3,2,0.4206394518983728,2671,1159,0.43391988019468364,0.01328042829631082,0.08536388783381439,2671,0.3813535122786979
last2_repeat_vs_prev,5,4,0.00870682272337996,0,0,,,,0,0.0
last2_repeat_vs_prev,5,3,0.00870682272337996,0,0,,,,0,0.0
last2_repeat_vs_prev,10,7,0.00870682272337996,0,0,,,,0,0.0
last2_repeat_vs_prev,10,8,0.00870682272337996,0,0,,,,0,0.0
last2_repeat_vs_prev,3,2,0.00870682272337996,5,0,0.0,-0.00870682272337996,1.0,5,0.0007138777841233581
digit_repeat_any_pos_vs_prev,5,4,0.2764773051669997,171,45,0.2631578947368421,-0.013319410430157608,0.6789589074754582,171,0.02442159383033419
digit_repeat_any_pos_vs_prev,5,3,0.2764773051669997,982,285,0.29022403258655805,0.013746727419558347,0.17663872749947904,982,0.14024564410168525
digit_repeat_any_pos_vs_prev,10,7,0.2764773051669997,53,6,0.11320754716981132,-0.16326975799718838,0.9988921336611261,53,0.007574674860654566
digit_repeat_any_pos_vs_prev,10,8,0.2764773051669997,1,0,0.0,-0.2764773051669997,1.0,1,0.00014291839359725596
digit_repeat_any_pos_vs_prev,3,2,0.2764773051669997,1307,367,0.28079571537872994,0.004318410211730239,0.373626981414023,1307,0.1866076527698458
