rule,support,hits,rate,base_rate,lift,lift_ratio,p_value
prev_has_consec => next_all_diff,3015,2192,0.7270315091210614,0.7177730192719486,0.009258489849112816,1.0128989103804764,0.2658171359842077
prev_has_consec => next_double,3015,800,0.26533996683250416,0.2743754461099215,-0.009035479277417324,0.9670689217802766,0.27049306241519633
prev_sum_le_9 => next_double,1519,430,0.28308097432521395,0.2743754461099215,0.008705528215292468,1.0317285250510528,0.4547258573119645
prev_has_consec => next_sum_gt_prev,3015,1397,0.4633499170812604,0.4716630977872948,-0.008313180706034429,0.9823747485333623,0.3618039947822747
prev_double => next_parity_odd,1923,942,0.48985959438377535,0.4980728051391863,-0.008213210755410927,0.9835100196785171,0.47964035310994846
prev_all_diff => next_sum_gt_prev,5027,2330,0.4634971155758902,0.4716630977872948,-0.008165982211404632,0.9826868325088107,0.24673947113543898
prev_parity_odd => next_sum_gt_prev,3489,1674,0.47979363714531387,0.4716630977872948,0.008130539358019051,1.017238023063839,0.3423251240831405
prev_double => next_double,1923,543,0.2823712948517941,0.2743754461099215,0.007995848741872591,1.029141998146107,0.4283713486195747
prev_has_zero => next_shares_digit_with_prev,1909,1151,0.6029334730225249,0.6107066381156316,-0.007773165093106771,0.9872718509870938,0.49611458635733824
prev_sum_ge_18 => next_shares_digit_with_prev,1532,924,0.6031331592689295,0.6107066381156316,-0.00757347884670212,0.987598826713149,0.5468478116185447
prev_sum_le_9 => next_all_diff,1519,1079,0.7103357472021067,0.7177730192719486,-0.007437272069841905,0.9896384067523384,0.5305999996952073
prev_has_consec => next_parity_odd,3015,1524,0.5054726368159204,0.4980728051391863,0.007399831676734081,1.014856927743056,0.4229551924171878
prev_weekday_mon => next_sum_gt_prev,1480,709,0.47905405405405405,0.4716630977872948,0.00739095626675923,1.0156699905110922,0.5845672506622352
prev_parity_odd => next_has_consec,3489,1478,0.4236170822585268,0.430406852248394,-0.006789769989867189,0.9842247632573733,0.42171474558448774
prev_sum_ge_18 => next_all_diff,1532,1110,0.7245430809399478,0.7177730192719486,0.006770061667999205,1.0094320369897245,0.5703334078983973
prev_sum_ge_18 => next_double,1532,411,0.26827676240208875,0.2743754461099215,-0.0060986837078327305,0.977772487318747,0.6063942404114187
prev_double => next_all_diff,1923,1369,0.7119084763390535,0.7177730192719486,-0.005864542932895067,0.9918295299831086,0.5772994176187394
prev_weekday_mon => next_has_consec,1480,629,0.425,0.430406852248394,-0.00540685224839399,0.9874378109452737,0.6937878972245204
prev_sum_ge_18 => next_parity_odd,1532,755,0.49281984334203655,0.4980728051391863,-0.0052529617971497355,0.9894534257984999,0.6827926201447914
prev_parity_odd => next_double,3489,941,0.26970478647176843,0.2743754461099215,-0.004670659638153052,0.9829771223906024,0.5438449868491355
prev_parity_odd => next_shares_digit_with_prev,3489,2146,0.6150759529951275,0.6107066381156316,0.004369314879495878,1.0071545233124986,0.6025257814876845
prev_all_diff => next_double,5027,1360,0.2705390889198329,0.2743754461099215,-0.0038363571900885685,0.9860178552983505,0.5481512204784411
prev_has_zero => next_double,1909,530,0.27763226820324777,0.2743754461099215,0.0032568220933262837,1.0118699473276538,0.758260824521842
prev_has_consec => next_last2_eq_prev,3015,17,0.005638474295190713,0.008708065667380442,-0.0030695913721897287,0.6475002038985401,0.07656300784410644
prev_all_diff => next_all_diff,5027,3623,0.7207081758504078,0.7177730192719486,0.0029351565784592193,1.0040892545409918,0.6495854372606891
prev_has_zero => next_parity_odd,1909,956,0.500785751702462,0.4980728051391863,0.0027129465632756977,1.0054468875539542,0.8189916248345046
prev_all_diff => next_has_consec,5027,2177,0.433061468072409,0.430406852248394,0.002654615824014994,1.0061676895015672,0.7111550297628089
prev_all_diff => next_parity_odd,5027,2517,0.5006962403023673,0.4980728051391863,0.002623435163180976,1.0052671720602129,0.713850132417704
prev_parity_odd => next_all_diff,3489,2513,0.7202636858698768,0.7177730192719486,0.0024906665979281817,1.0034699919487842,0.7634776650170557
prev_sum_ge_18 => next_last2_eq_prev,1532,17,0.011096605744125326,0.008708065667380442,0.0023885400767448845,1.2742905448786543,0.33238378786920114
prev_sum_le_9 => next_last2_eq_prev,1519,10,0.0065832784726793945,0.008708065667380442,-0.0021247871947010473,0.7559977983790026,0.4876637822697137
prev_has_zero => next_has_consec,1909,818,0.428496595075956,0.430406852248394,-0.001910257172437979,0.9955617407983655,0.8715029850340121
prev_has_consec => next_has_consec,3015,1303,0.43217247097844114,0.430406852248394,0.0017656187300471582,1.0041022086912041,0.8540890528802201
prev_has_zero => next_all_diff,1909,1367,0.716081718177056,0.7177730192719486,-0.0016913010948925722,0.9976436825438102,0.8787501581499596
